iter	RMSE
0	20.14407536
1	20.01868436
2	19.91875901
3	19.81503836
4	19.70750003
5	19.59913533
6	19.48684782
7	19.38041547
8	19.27414773
9	19.18535721
10	19.08911531
11	18.9803861
12	18.87832215
13	18.77267237
14	18.66879554
15	18.56346368
16	18.46114889
17	18.3660252
18	18.29018809
19	18.20420207
20	18.11419646
21	18.02707907
22	17.93662663
23	17.84775314
24	17.76639287
25	17.68972093
26	17.60367823
27	17.51599447
28	17.43042564
29	17.36012284
30	17.27320358
31	17.18741426
32	17.10532454
33	17.03821005
34	16.96773388
35	16.88924734
36	16.81793329
37	16.74333491
38	16.67727833
39	16.6112909
40	16.54880136
41	16.48131725
42	16.40808316
43	16.34293664
44	16.27680974
45	16.2217712
46	16.16113357
47	16.09785524
48	16.03009457
49	15.97044393
50	15.90959064
51	15.84875137
52	15.79260029
53	15.73488439
54	15.67180507
55	15.60982089
56	15.55618766
57	15.50346065
58	15.45062379
59	15.40263376
60	15.34630433
61	15.29630709
62	15.24544819
63	15.19788757
64	15.14975864
65	15.10046629
66	15.04778135
67	15.00151092
68	14.95689724
69	14.91256202
70	14.87061558
71	14.82294757
72	14.78117109
73	14.74047038
74	14.69866463
75	14.65932452
76	14.61758458
77	14.57346886
78	14.53208207
79	14.49694444
80	14.45829749
81	14.42046967
82	14.38112381
83	14.34895461
84	14.31263039
85	14.2793013
86	14.24529477
87	14.20970851
88	14.17336592
89	14.1385495
90	14.10316629
91	14.07191056
92	14.04045525
93	14.00350556
94	13.97258919
95	13.9370403
96	13.90762825
97	13.87661837
98	13.84316198
99	13.81398701
100	13.78499446
101	13.7570681
102	13.72696178
103	13.69918241
104	13.66888453
105	13.64177059
106	13.61157374
107	13.58424248
108	13.55765502
109	13.52969909
110	13.50526008
111	13.4820828
112	13.46036253
113	13.43385544
114	13.40966311
115	13.38912878
116	13.36614637
117	13.34381723
118	13.32316218
119	13.30033483
120	13.2757348
121	13.25453724
122	13.23314603
123	13.21213615
124	13.19017658
125	13.16917347
126	13.1487119
127	13.12888807
128	13.10822357
129	13.0883049
130	13.06784238
131	13.04943258
132	13.03099967
133	13.01317595
134	12.9962924
135	12.97882254
136	12.96080659
137	12.94379939
138	12.92535721
139	12.90985128
140	12.89251644
141	12.87698482
142	12.86214773
143	12.84754045
144	12.83120501
145	12.81666672
146	12.80083901
147	12.78465211
148	12.77050997
149	12.75667993
150	12.74207798
151	12.72892605
152	12.71508243
153	12.70212285
154	12.68929484
155	12.67814392
156	12.66582167
157	12.65325058
158	12.63944431
159	12.62755995
160	12.61782193
161	12.60563481
162	12.59435096
163	12.58264077
164	12.5713041
165	12.5582278
166	12.54712258
167	12.53601605
168	12.5259722
169	12.51522676
170	12.50598476
171	12.4952647
172	12.4844914
173	12.47382162
174	12.46284951
175	12.45223826
176	12.44243163
177	12.43282375
178	12.42386859
179	12.41398777
180	12.40411103
181	12.39587915
182	12.3879722
183	12.37854443
184	12.36959349
185	12.3618942
186	12.35394462
187	12.34537162
188	12.33621747
189	12.32734586
190	12.31878037
191	12.31200495
192	12.3042854
193	12.29620873
194	12.28929987
195	12.28166673
196	12.27383961
197	12.26716931
198	12.25991579
199	12.25270942
200	12.24544912
201	12.23813622
202	12.23103093
203	12.22400776
204	12.21713512
205	12.21050475
206	12.20369946
207	12.19759464
208	12.1914162
209	12.18417538
210	12.17817654
211	12.17196183
212	12.16507624
213	12.15944535
214	12.15273049
215	12.14709956
216	12.14094129
217	12.13396551
218	12.12916039
219	12.12276377
220	12.11703913
221	12.11142899
222	12.10568794
223	12.10015995
224	12.09509071
225	12.08990958
226	12.0853599
227	12.07999144
228	12.07492424
229	12.06948102
230	12.06445239
231	12.05824572
232	12.05341086
233	12.04949218
234	12.0443154
235	12.03927786
236	12.03506106
237	12.03064255
238	12.02573655
239	12.02163308
240	12.01763404
241	12.01284687
242	12.00897857
243	12.00492165
244	11.9997942
245	11.99428102
246	11.98913972
247	11.98436702
248	11.98022002
249	11.97623668
250	11.97268386
251	11.96789425
252	11.96261612
253	11.95850528
254	11.95433232
255	11.94955343
256	11.94527255
257	11.94213422
258	11.93795785
259	11.93476954
260	11.93114826
261	11.9266275
262	11.92423602
263	11.9200708
264	11.91615057
265	11.91280996
266	11.90920654
267	11.90589696
268	11.90264605
269	11.89814754
270	11.89348872
271	11.88970043
272	11.88653558
273	11.8829456
274	11.88119209
275	11.87815647
276	11.87357759
277	11.87055914
278	11.86740186
279	11.86258195
280	11.85832786
281	11.8550708
282	11.85151001
283	11.84899187
284	11.84622241
285	11.84203548
