iter	Passed	Remaining
363	21390	213673
364	21405	213178
365	21433	212814
366	21619	214010
367	21800	215161
368	21983	216316
369	22106	216879
370	22150	216664
371	22171	216235
372	22186	215739
373	22370	216888
374	22382	216361
375	22408	215978
376	22426	215517
377	22451	215129
378	22460	214589
379	22472	214076
380	22655	215200
381	22667	214686
382	22677	214163
383	22703	213787
384	22716	213297
385	22727	212792
386	22737	212278
387	22762	211906
388	22948	213025
389	22961	212538
390	22979	212104
391	23102	212639
392	23113	212142
393	23125	211652
394	23136	211152
395	23161	210789
396	23171	210296
397	23196	209935
398	23208	209461
399	23222	209004
400	23234	208531
401	23241	208021
402	23280	207795
403	23321	207584
404	23445	208110
405	23455	207636
406	23465	207151
407	23477	206691
408	23546	206734
409	23727	207758
410	23794	207780
411	23835	207574
412	23860	207236
413	23872	206775
414	23880	206296
415	23900	205914
416	23911	205455
417	23930	205068
418	23941	204619
419	24062	205102
420	24102	204901
421	24110	204421
422	24291	205411
423	24472	206402
424	24489	206000
425	24515	205679
426	24524	205211
427	24703	206170
428	24773	206218
429	24800	205905
430	24811	205460
431	24935	205952
432	24953	205564
433	24965	205128
434	25144	206069
435	25325	207014
436	25335	206564
437	25353	206184
438	25536	207141
439	25721	208106
440	25760	207895
441	25772	207464
442	25790	207082
443	25799	206624
444	25808	206179
445	25877	206204
446	25894	205827
447	25904	205385
448	26024	205816
449	26033	205372
450	26046	204965
451	26064	204597
452	26074	204160
453	26113	203960
454	26292	204852
455	26310	204481
456	26320	204059
457	26501	204955
458	26510	204516
459	26523	204119
460	26538	203727
461	26661	204174
462	26671	203748
463	26685	203361
464	26704	203011
465	26728	202698
466	26912	203600
467	26936	203291
468	26950	202901
469	26958	202476
470	26982	202168
471	27045	202152
472	27055	201740
473	27229	202556
474	27239	202147
475	27247	201724
476	27264	201372
477	27272	200952
478	27336	200946
479	27354	200599
480	27529	201408
481	27539	201001
482	27718	201832
